sample,id,Period,Year,x,y,GeneticGroup,SpawnTime,Stock
ND142,scotland_5,18rh,1848,-3.2609567,56.0377475,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
ND157,scotland_6,18sp,1890,-4.9254889,55.7449326,Skagerrak & Kattegat,Autumn,Baltic Autumn-Spawner
ND158,scotland_7,18sp,1890,-5.605374,55.424117,Britain & Ireland,Spring,Ireland & Britain Spring-Spawner
ND161,rovaer_1,18sp,1881,5.108007,59.4392627,Norwegian,Spring,Norwegian Spring-Spawner
ND163,bergen_1,18rh,NA,5.1050624,60.4102617,Norwegian,Spring,Norwegian Spring-Spawner
ND164,bergen_2,18rh,NA,5.1050624,60.4102617,Norwegian,Spring,Norwegian Spring-Spawner
ND165,bergen_3,18rh,NA,5.1050624,60.4102617,Norwegian,Spring,Norwegian Spring-Spawner
ND166,bergen_4,18rh,NA,5.1050624,60.4102617,Norwegian,Spring,Norwegian Spring-Spawner
ND167,bergen_5,18rh,NA,5.1050624,60.4102617,Norwegian,Spring,Norwegian Spring-Spawner
ND168,unknown_1,18rh,NA,8.06712,60.33619,Norwegian,Spring,Norwegian Spring-Spawner
ND169,unknown_2,18rh,1870,8.06712,60.33619,Norwegian,Spring,Norwegian Spring-Spawner
ND170,unknown_3,18rh,1870,8.06712,60.33619,Norwegian,Spring,Norwegian Spring-Spawner
ND171,unknown_4,18rh,1870,8.06712,60.33619,Norwegian,Spring,Norwegian Spring-Spawner
ND178,stavanger_1,18sp,1880,5.5573408,59.0011071,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND180,stavanger_2,18sp,1880,5.5573408,59.0011071,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND182,stavanger_3,18sp,1880,5.5573408,59.0011071,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND183,stavanger_4,18sp,1880,5.5573408,59.0011071,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND184,stavanger_5,18sp,1880,5.5573408,59.0011071,Norwegian,Spring,Norwegian Spring-Spawner
ND187,stavanger_6,18sp,1880,5.5573408,59.0011071,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
ND188,stavanger_7,18sp,1880,5.5573408,59.0011071,Norwegian,Spring,Norwegian Spring-Spawner
ND195,dynekilen_1,18rh,1874,11.2220227,59.0076925,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND196,dynekilen_2,18rh,1874,11.2220227,59.0076925,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND197,dynekilen_3,18rh,1874,11.2220227,59.0076925,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND198,dynekilen_4,18rh,1874,11.2220227,59.0076925,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND199,dynekilen_5,18rh,1874,11.2220227,59.0076925,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND200,dynekilen_6,18rh,1874,11.2220227,59.0076925,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND201,dynekilen_7,18rh,1874,11.2220227,59.0076925,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND202,dynekilen_8,18rh,1874,11.2220227,59.0076925,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND203,dynekilen_9,18rh,1874,11.2220227,59.0076925,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND204,dynekilen_10,18rh,1874,11.2220227,59.0076925,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
